Chromosome/scaffold name,Start (bp),End (bp),Feature type
1,156412200,156422201,Promoter
16,15638000,15638401,Promoter
1,160860800,160863401,Promoter
7,38177001,38180801,Promoter
2,96531600,96532401,Promoter
3,14429600,14429801,Promoter
17,81566600,81567201,Promoter
22,23786200,23788401,Promoter
13,99084200,99088801,Promoter
15,78436601,78436801,Promoter
17,81831600,81835001,Promoter
X,71215200,71217600,Promoter
1,16143600,16147601,Promoter
11,6479800,6483001,Promoter
19,8334400,8335801,Promoter
22,21632800,21633001,Promoter
11,406000,407801,Promoter
9,121815800,121816201,Promoter
15,34341200,34344000,Promoter
3,64221400,64226201,Promoter
4,175809000,175814001,Promoter
2,95028200,95028401,Promoter
2,144402400,144403001,Promoter
21,36994401,36995200,Promoter
8,1754200,1754401,Promoter
9,136526800,136527801,Promoter
10,80289600,80289801,Promoter
22,48575200,48577201,Promoter
1,35886000,35887601,Promoter
22,20318200,20318401,Promoter
1,115098000,115101201,Promoter
20,30811800,30817200,Promoter
3,195898000,195898401,Promoter
12,110846400,110847601,Promoter
7,101162000,101162201,Promoter
5,131252600,131254801,Promoter
9,71907600,71913601,Promoter
7,36984400,36987001,Promoter
16,70716800,70717001,Promoter
15,85626000,85626201,Promoter
11,94742200,94742401,Promoter
1,44676200,44676801,Promoter
19,4671600,4671800,Promoter
12,54368200,54371001,Promoter
1,159853800,159855801,Promoter
19,41395600,41399401,Promoter
8,17921400,17925801,Promoter
1,25561800,25566001,Promoter
8,76732601,76733801,Promoter
18,12049800,12050001,Promoter
1,19429800,19430201,Promoter
11,34437800,34441401,Promoter
9,114959000,114959201,Promoter
7,36393600,36394001,Promoter
17,77448800,77463401,Promoter
8,30911201,30913001,Promoter
7,43647200,43651601,Promoter
4,128513800,128514201,Promoter
11,78423800,78424201,Promoter
3,122253800,122254001,Promoter
19,57746001,57748801,Promoter
2,26769400,26769601,Promoter
11,113313800,113315801,Promoter
5,62305000,62308601,Promoter
8,8461600,8462001,Promoter
3,184710000,184713400,Promoter
17,19980600,19980801,Promoter
14,36581000,36583000,Promoter
2,189761600,189764600,Promoter
18,73324600,73329401,Promoter
17,10127600,10128601,Promoter
19,49865000,49870801,Promoter
19,49492600,49492801,Promoter
11,67239000,67243001,Promoter
17,15340801,15342201,Promoter
12,104606800,104607601,Promoter
3,132319000,132319201,Promoter
1,207958600,207960001,Promoter
5,43006600,43011601,Promoter
13,63811401,63811800,Promoter
14,64764600,64765001,Promoter
10,49679200,49680000,Promoter
7,1062000,1062601,Promoter
18,58625801,58629401,Promoter
1,2104600,2105201,Promoter
6,42977000,42981801,Promoter
13,20712600,20713401,Promoter
15,78148000,78151201,Promoter
17,68204201,68208001,Promoter
11,44939400,44939801,Promoter
15,84605000,84605601,Promoter
6,29751800,29754400,Promoter
10,110642800,110649401,Promoter
2,85728800,85729401,Promoter
11,103088600,103093201,Promoter
15,73689200,73689401,Promoter
5,38445200,38447000,Promoter
20,45910400,45913001,Promoter
19,18477200,18479401,Promoter
9,129436800,129438001,Promoter
16,87983600,87984401,Promoter
15,41290800,41291001,Promoter
5,132256800,132260801,Promoter
19,54436000,54436401,Promoter
8,95086200,95086401,Promoter
15,67838600,67841801,Promoter
7,1466600,1466801,Promoter
19,45676200,45678800,Promoter
15,52135400,52135801,Promoter
6,97626600,97626801,Promoter
16,35552601,35553400,Promoter
14,88384600,88387001,Promoter
11,76799000,76799801,Promoter
5,150846400,150847401,Promoter
2,121902400,121903401,Promoter
5,115539200,115545800,Promoter
1,84692600,84693801,Promoter
1,149830200,149838201,Promoter
2,105336200,105339401,Promoter
10,112957600,112959001,Promoter
X,63784000,63786201,Promoter
20,50293200,50293401,Promoter
1,54799000,54802201,Promoter
10,5446200,5450801,Promoter
15,94235600,94236001,Promoter
3,133660000,133663601,Promoter
6,31117200,31117401,Promoter
19,18018200,18018601,Promoter
2,162342400,162342601,Promoter
20,44309600,44311800,Promoter
11,123058400,123065001,Promoter
19,15283800,15284001,Promoter
11,72072200,72072401,Promoter
6,71165001,71165200,Promoter
19,54241200,54243201,Promoter
1,28883800,28884201,Promoter
7,102912400,102915401,Promoter
1,206053000,206055001,Promoter
4,56653800,56654401,Promoter
11,3510800,3515801,Promoter
4,173634001,173634400,Promoter
18,54830400,54830601,Promoter
6,13474800,13475001,Promoter
18,77101200,77102601,Promoter
2,42358800,42362601,Promoter
2,218000400,218001001,Promoter
6,10585200,10589201,Promoter
5,1798600,1803001,Promoter
14,99256000,99256801,Promoter
15,84746200,84751401,Promoter
6,139027200,139031201,Promoter
15,68276400,68283801,Promoter
12,110460801,110461200,Promoter
19,58345801,58346001,Promoter
12,62936000,62936201,Promoter
15,52552400,52552601,Promoter
10,100911201,100911401,Promoter
12,120115000,120119001,Promoter
9,122370000,122372601,Promoter
22,31342200,31348201,Promoter
19,46633800,46636401,Promoter
19,49801400,49803400,Promoter
15,44739200,44739801,Promoter
3,188587000,188587400,Promoter
6,109772000,109772201,Promoter
11,33256000,33262001,Promoter
12,106133600,106133801,Promoter
16,2025600,2031401,Promoter
11,26993201,26996800,Promoter
20,26063201,26064600,Promoter
18,12945800,12949801,Promoter
11,128624200,128625201,Promoter
14,68779800,68781201,Promoter
1,158810400,158810601,Promoter
20,62921200,62921601,Promoter
3,58236400,58239401,Promoter
17,215000,216401,Promoter
7,20782600,20788200,Promoter
7,100088200,100090201,Promoter
19,14135200,14138601,Promoter
6,71287000,71293001,Promoter
7,42227200,42228801,Promoter
4,39635400,39640401,Promoter
1,50251600,50251801,Promoter
6,108258400,108262600,Promoter
5,32588000,32588401,Promoter
13,113450800,113453801,Promoter
3,81758600,81762801,Promoter
1,16656401,16657401,Promoter
13,40438600,40439601,Promoter
6,27679600,27682000,Promoter
16,33127601,33129800,Promoter
2,71331001,71334601,Promoter
9,34645000,34645201,Promoter
18,79521800,79525001,Promoter
8,30087800,30088601,Promoter
17,77548400,77548601,Promoter
3,128845200,128846801,Promoter
6,57171001,57175801,Promoter
17,19202400,19202601,Promoter
17,43359400,43363001,Promoter
8,93698600,93702401,Promoter
19,10229000,10232201,Promoter
16,85995600,85995801,Promoter
9,19408000,19410601,Promoter
17,50133400,50133601,Promoter
1,9893000,9893601,Promoter
10,93893001,93895601,Promoter
17,75665800,75668801,Promoter
16,69186200,69189801,Promoter
7,128452600,128454001,Promoter
19,56066600,56067001,Promoter
18,58088000,58088201,Promoter
11,47550400,47554201,Promoter
10,97423600,97423801,Promoter
5,149141200,149145200,Promoter
13,99282400,99282801,Promoter
7,6728401,6731601,Promoter
7,97732200,97733201,Promoter
17,17834200,17834401,Promoter
17,82050200,82053401,Promoter
19,1274000,1277001,Promoter
1,7953401,7955201,Promoter
11,118571400,118576201,Promoter
17,36721400,36723001,Promoter
8,124725200,124729201,Promoter
11,47234800,47235001,Promoter
10,68329000,68329201,Promoter
16,19697400,19697801,Promoter
20,7257401,7258400,Promoter
7,150852400,150853201,Promoter
7,140403400,140405201,Promoter
1,234598800,234602001,Promoter
7,44488600,44491601,Promoter
1,152034000,152038601,Promoter
2,74843800,74844001,Promoter
17,44688400,44691401,Promoter
12,46830600,46832401,Promoter
1,161458000,161458201,Promoter
2,25821800,25823001,Promoter
12,547400,547801,Promoter
1,205312200,205312401,Promoter
9,137068000,137071601,Promoter
11,77126800,77128601,Promoter
1,217137000,217137401,Promoter
19,7699000,7699201,Promoter
20,17558400,17559001,Promoter
15,52023200,52023601,Promoter
1,15798600,15798801,Promoter
22,31159001,31162601,Promoter
1,120132200,120132401,Promoter
1,228485800,228489201,Promoter
20,21162800,21163600,Promoter
17,19304000,19304201,Promoter
10,124736000,124736801,Promoter
8,27381400,27381801,Promoter
X,1330200,1330801,Promoter
7,77246400,77246601,Promoter
8,11066800,11067001,Promoter
20,35660800,35666000,Promoter
1,15799000,15800801,Promoter
19,2637000,2637601,Promoter
4,88006600,88011201,Promoter
22,30386200,30388001,Promoter
10,112445600,112449001,Promoter
22,20956000,20958801,Promoter
15,84420200,84422801,Promoter
8,23050200,23050601,Promoter
12,52925000,52925201,Promoter
5,113486400,113489201,Promoter
2,70887400,70888201,Promoter
13,112968000,112970401,Promoter
2,262200,262801,Promoter
20,50641800,50642201,Promoter
16,74366400,74370201,Promoter
4,184815800,184816201,Promoter
16,77431601,77431800,Promoter
11,2697000,2701201,Promoter
4,47911400,47911601,Promoter
1,156154200,156155201,Promoter
16,89118200,89118801,Promoter
6,144035800,144037601,Promoter
12,1920800,1922601,Promoter
6,24958200,24958601,Promoter
5,171418600,171421201,Promoter
20,53828000,53830601,Promoter
5,151757200,151759601,Promoter
9,37902200,37905401,Promoter
16,27548400,27551201,Promoter
13,48568400,48568801,Promoter
6,159039000,159046001,Promoter
X,154094000,154098800,Promoter
3,147370401,147371000,Promoter
4,151322400,151326600,Promoter
17,3659400,3660001,Promoter
19,4637000,4638201,Promoter
11,34104200,34107801,Promoter
14,20612400,20612601,Promoter
10,24622400,24622801,Promoter
X,40151000,40151201,Promoter
14,96361000,96365201,Promoter
12,132284800,132285001,Promoter
20,31879001,31880800,Promoter
3,25454200,25454601,Promoter
1,241517000,241520801,Promoter
16,978400,979601,Promoter
3,10010000,10012001,Promoter
8,37785400,37785801,Promoter
14,88562200,88564801,Promoter
1,228208000,228211000,Promoter
19,44807800,44810801,Promoter
20,47415200,47415801,Promoter
1,3651400,3653801,Promoter
5,6582800,6583801,Promoter
4,98352400,98353001,Promoter
3,42063200,42064401,Promoter
10,65570001,65572201,Promoter
14,24296600,24297001,Promoter
4,303201,306000,Promoter
10,75108000,75109201,Promoter
4,184820600,184821201,Promoter
4,4539800,4543601,Promoter
9,136050000,136053801,Promoter
3,149373800,149374201,Promoter
10,110269200,110270001,Promoter
17,40110000,40110801,Promoter
16,15948600,15952801,Promoter
X,11265801,11266401,Promoter
19,14111600,14114801,Promoter
16,53102000,53102601,Promoter
4,139698200,139698800,Promoter
11,62558600,62561801,Promoter
1,9239400,9240201,Promoter
4,8157000,8160201,Promoter
16,1331400,1334601,Promoter
X,136146200,136150800,Promoter
14,64293600,64295001,Promoter
1,153623200,153623401,Promoter
14,67618800,67621200,Promoter
2,160388200,160389201,Promoter
6,332000,332201,Promoter
5,155013601,155014200,Promoter
17,27414600,27414801,Promoter
7,134456800,134457001,Promoter
17,78916000,78917001,Promoter
15,69081800,69082201,Promoter
4,101344600,101349201,Promoter
2,109127800,109132401,Promoter
2,200373400,200374601,Promoter
6,154507000,154507201,Promoter
6,36766000,36766201,Promoter
7,88217600,88221401,Promoter
6,11172600,11173001,Promoter
3,179146600,179150801,Promoter
10,17451600,17455801,Promoter
1,8889600,8890801,Promoter
1,39214400,39217801,Promoter
5,132806801,132807401,Promoter
19,289400,292001,Promoter
1,197915800,197918801,Promoter
7,64902401,64905001,Promoter
19,6661800,6662201,Promoter
1,207882600,207884201,Promoter
15,88614800,88615201,Promoter
20,32563800,32564001,Promoter
7,22561800,22562001,Promoter
5,139694800,139695001,Promoter
12,9112801,9117001,Promoter
9,61329801,61333401,Promoter
9,16703000,16705801,Promoter
2,216632600,216637401,Promoter
1,45489400,45492201,Promoter
20,25039200,25039601,Promoter
16,17349600,17350601,Promoter
12,57517800,57524801,Promoter
8,41489600,41492601,Promoter
14,21990401,21991001,Promoter
2,6934000,6934201,Promoter
6,80070001,80070800,Promoter
7,150448200,150454401,Promoter
2,37563400,37563601,Promoter
9,138216800,138219001,Promoter
1,113859400,113860601,Promoter
2,169590000,169590201,Promoter
16,67489000,67489601,Promoter
3,130093600,130095001,Promoter
9,94920400,94921601,Promoter
11,64300600,64301601,Promoter
17,1828800,1831601,Promoter
19,2474400,2480201,Promoter
18,9706800,9711401,Promoter
19,45402000,45408201,Promoter
3,30631400,30632401,Promoter
18,5293800,5297601,Promoter
10,71888000,71890001,Promoter
5,141382600,141383800,Promoter
3,169143201,169150001,Promoter
19,52856200,52858600,Promoter
6,169424800,169425401,Promoter
17,28334000,28337401,Promoter
1,223362600,223365401,Promoter
15,76190600,76191601,Promoter
12,6551000,6556801,Promoter
1,38011800,38014601,Promoter
9,15507600,15512601,Promoter
15,62758200,62758401,Promoter
5,60943400,60947201,Promoter
14,39232600,39233401,Promoter
11,73387200,73387601,Promoter
5,62402000,62405201,Promoter
9,128149200,128149401,Promoter
X,111410400,111412401,Promoter
19,46022800,46023401,Promoter
7,29985200,29987001,Promoter
7,13980800,13992801,Promoter
12,108566600,108566801,Promoter
17,50116600,50116801,Promoter
4,87218800,87221600,Promoter
11,102314200,102314401,Promoter
14,54653800,54654001,Promoter
19,6372000,6374401,Promoter
1,110406000,110409001,Promoter
7,45767000,45770201,Promoter
17,65039400,65039801,Promoter
3,50364200,50366201,Promoter
22,37606800,37611001,Promoter
11,9090600,9092401,Promoter
6,34220000,34220201,Promoter
5,151259000,151259201,Promoter
1,108043400,108043601,Promoter
11,628600,628801,Promoter
12,69348000,69351801,Promoter
19,6729800,6731001,Promoter
2,23924400,23928801,Promoter
21,32409800,32410001,Promoter
12,49902200,49902401,Promoter
14,45132600,45138801,Promoter
8,21787400,21790001,Promoter
3,101826400,101831401,Promoter
2,38665200,38668601,Promoter
3,12003600,12005401,Promoter
10,80132200,80135000,Promoter
17,38746000,38754201,Promoter
14,35291200,35295401,Promoter
12,121624800,121630201,Promoter
15,99434800,99435601,Promoter
19,49558400,49561201,Promoter
2,25672000,25674601,Promoter
4,7065600,7065801,Promoter
1,40305400,40305601,Promoter
17,40533200,40533801,Promoter
16,89565400,89566601,Promoter
1,46612200,46612401,Promoter
11,88172001,88173001,Promoter
10,126422000,126422201,Promoter
11,61428600,61431801,Promoter
X,23910600,23911001,Promoter
21,43361200,43363001,Promoter
4,40829600,40830201,Promoter
11,32582801,32586601,Promoter
17,19000200,19005801,Promoter
11,3580400,3581601,Promoter
11,8715400,8716001,Promoter
11,43358000,43361201,Promoter
4,54941600,54943001,Promoter
16,56449000,56453401,Promoter
8,11863200,11863401,Promoter
16,71726800,71727001,Promoter
7,73846200,73846401,Promoter
18,60372400,60373400,Promoter
7,16918000,16918401,Promoter
17,76526600,76527001,Promoter
16,69772800,69773001,Promoter
12,50509000,50509201,Promoter
6,41937800,41943401,Promoter
1,161191200,161192001,Promoter
16,57863400,57863801,Promoter
12,8063200,8066801,Promoter
22,40531200,40534201,Promoter
3,196284200,196289001,Promoter
7,137845601,137847801,Promoter
20,62339800,62340201,Promoter
3,142827401,142827800,Promoter
2,237084400,237087801,Promoter
17,50345200,50348001,Promoter
1,155938800,155939401,Promoter
11,18104201,18106801,Promoter
13,111187800,111188401,Promoter
11,43880000,43882201,Promoter
15,69466400,69467001,Promoter
7,99437400,99441201,Promoter
22,39994400,39997201,Promoter
12,66803201,66803601,Promoter
6,28334600,28337601,Promoter
18,24269800,24273201,Promoter
15,65045000,65045801,Promoter
12,120193200,120196201,Promoter
10,68559800,68563801,Promoter
1,16236000,16237801,Promoter
6,113531000,113531801,Promoter
X,103627800,103631000,Promoter
15,73630400,73634401,Promoter
2,62194000,62200801,Promoter
8,73834200,73834601,Promoter
11,94706000,94707601,Promoter
3,172038800,172044801,Promoter
19,3720800,3723601,Promoter
3,27632200,27634401,Promoter
16,19112800,19117001,Promoter
21,36159000,36159201,Promoter
15,42344800,42345201,Promoter
12,123106800,123107201,Promoter
9,121650200,121653201,Promoter
4,6855800,6856201,Promoter
7,140435201,140436000,Promoter
5,149547400,149553001,Promoter
5,38257600,38260000,Promoter
2,239297200,239299001,Promoter
10,77634201,77634801,Promoter
8,53840800,53845201,Promoter
14,103131800,103132601,Promoter
2,38748800,38753801,Promoter
8,737200,738401,Promoter
18,63142000,63142401,Promoter
11,4392600,4394801,Promoter
12,8989400,8995201,Promoter
7,128356200,128356401,Promoter
17,81043600,81044201,Promoter
8,143429200,143429601,Promoter
19,15828800,15831001,Promoter
16,7332401,7335401,Promoter
3,8658000,8658201,Promoter
5,31636800,31637201,Promoter
4,89894400,89898201,Promoter
17,8627800,8632401,Promoter
1,212908801,212915601,Promoter
1,169892200,169895201,Promoter
3,49164600,49167001,Promoter
12,54389200,54389401,Promoter
9,133476600,133480200,Promoter
15,65832400,65833801,Promoter
5,66595600,66598801,Promoter
9,128339600,128341801,Promoter
9,35833200,35833801,Promoter
12,47770600,47771600,Promoter
17,51050800,51051001,Promoter
17,35377400,35377601,Promoter
16,87305800,87306401,Promoter
9,129625200,129628401,Promoter
5,40841000,40843801,Promoter
3,182792200,182796201,Promoter
8,123415200,123418201,Promoter
20,17557800,17558201,Promoter
4,1199600,1202801,Promoter
12,8037200,8037601,Promoter
16,80540200,80541801,Promoter
9,37799600,37803801,Promoter
12,68331000,68333401,Promoter
1,209704600,209706200,Promoter
12,15220201,15221801,Promoter
4,23886000,23891201,Promoter
11,44621000,44621401,Promoter
14,23468601,23470801,Promoter
9,36485000,36488801,Promoter
5,141177600,141178600,Promoter
17,34979400,34982201,Promoter
19,6663800,6664201,Promoter
3,43285600,43292001,Promoter
15,90660600,90661401,Promoter
1,146413400,146415601,Promoter
16,89920600,89920801,Promoter
20,45372600,45374201,Promoter
15,93086400,93090201,Promoter
3,181695000,181702601,Promoter
9,137276400,137279001,Promoter
7,16463401,16466401,Promoter
7,100351800,100353601,Promoter
1,17436400,17441401,Promoter
21,33401400,33401601,Promoter
17,28233400,28234601,Promoter
3,93972600,93974401,Promoter
2,172551200,172551401,Promoter
9,76869000,76869201,Promoter
1,237041001,237048200,Promoter
8,141413200,141414001,Promoter
18,35048200,35048801,Promoter
20,32277000,32278801,Promoter
12,12837200,12837801,Promoter
21,33640200,33645601,Promoter
8,133092400,133093401,Promoter
X,118717800,118718201,Promoter
12,22542800,22545401,Promoter
17,29758000,29762401,Promoter
13,49247000,49249401,Promoter
2,109611200,109611401,Promoter
4,123259400,123259601,Promoter
14,64464201,64466601,Promoter
14,101808600,101813001,Promoter
16,2204400,2207001,Promoter
3,186106000,186110801,Promoter
10,73229800,73230001,Promoter
9,34664200,34667001,Promoter
2,74847200,74847401,Promoter
6,87122401,87122800,Promoter
3,16511000,16514601,Promoter
7,148262800,148263201,Promoter
11,114170200,114170401,Promoter
18,75203200,75215401,Promoter
17,2302000,2305201,Promoter
12,51823200,51823601,Promoter
1,51296600,51297601,Promoter
10,5861200,5861601,Promoter
17,29572400,29573201,Promoter
1,31707800,31708201,Promoter
7,50347200,50348201,Promoter
1,231038400,231041401,Promoter
9,111033400,111033801,Promoter
1,17017000,17017200,Promoter
1,44806600,44810601,Promoter
X,100403600,100411601,Promoter
15,73050600,73055200,Promoter
2,149329400,149332400,Promoter
3,48502600,48505001,Promoter
1,162069000,162073001,Promoter
12,54361600,54361801,Promoter
3,195269400,195272401,Promoter
17,29148400,29149801,Promoter
20,24468801,24471801,Promoter
1,26045400,26047000,Promoter
2,90234401,90234601,Promoter
14,20706401,20707001,Promoter
8,133293000,133299201,Promoter
5,132372400,132372601,Promoter
5,121199001,121199800,Promoter
17,58218400,58220201,Promoter
4,25030200,25031801,Promoter
14,56816401,56817001,Promoter
22,41090400,41096601,Promoter
3,42589800,42592201,Promoter
17,12664800,12669200,Promoter
9,15421800,15425001,Promoter
2,175003200,175006201,Promoter
17,39695800,39696201,Promoter
17,81336200,81336601,Promoter
10,91807201,91807601,Promoter
10,92237400,92243801,Promoter
14,76925400,76925801,Promoter
3,188949800,188950001,Promoter
1,151817400,151817801,Promoter
7,35247601,35256801,Promoter
17,77372000,77377001,Promoter
6,26239600,26242001,Promoter
12,54432000,54432201,Promoter
11,119314800,119322401,Promoter
16,30094600,30098601,Promoter
6,37005200,37008401,Promoter
6,148448600,148448801,Promoter
8,66112200,66115601,Promoter
5,79562800,79563201,Promoter
6,14431600,14433600,Promoter
6,88961800,88965201,Promoter
8,116870800,116871201,Promoter
17,81942800,81943000,Promoter
5,105391201,105393400,Promoter
14,23555001,23555201,Promoter
15,30195200,30196801,Promoter
X,49078600,49081001,Promoter
10,71783400,71783601,Promoter
1,1005200,1005601,Promoter
3,195889800,195893601,Promoter
20,17530600,17532001,Promoter
5,164296400,164298401,Promoter
18,23993600,23994201,Promoter
9,69168600,69169401,Promoter
X,48002200,48005000,Promoter
15,21732400,21732801,Promoter
17,77114000,77114401,Promoter
19,12755601,12756201,Promoter
11,64741400,64747401,Promoter
17,38601400,38602201,Promoter
19,53130800,53131001,Promoter
12,29389201,29392201,Promoter
11,789200,790601,Promoter
14,22917200,22920800,Promoter
3,196220600,196221201,Promoter
8,43246800,43247201,Promoter
1,212542800,212543201,Promoter
9,120791400,120794801,Promoter
12,51390400,51393401,Promoter
13,75790000,75790401,Promoter
19,9789400,9789801,Promoter
10,18657800,18662201,Promoter
11,134331000,134333001,Promoter
16,11789800,11790400,Promoter
16,89574200,89577400,Promoter
19,39842000,39842801,Promoter
11,73139600,73144201,Promoter
1,93344400,93351201,Promoter
10,67835800,67838401,Promoter
1,167218801,167223801,Promoter
16,27721200,27721401,Promoter
17,41810400,41814601,Promoter
22,32206800,32207001,Promoter
16,31138600,31139401,Promoter
12,120709800,120712201,Promoter
9,36189600,36194401,Promoter
21,44154800,44155201,Promoter
14,90330600,90332801,Promoter
14,68953200,68953801,Promoter
11,116791400,116791801,Promoter
10,70481600,70481801,Promoter
11,47257200,47260001,Promoter
16,19554200,19556801,Promoter
11,66334000,66334401,Promoter
3,161103801,161106001,Promoter
9,134640600,134646201,Promoter
12,96038200,96038401,Promoter
17,50632400,50632801,Promoter
12,107317600,107322601,Promoter
15,100372800,100374400,Promoter
19,54616800,54620401,Promoter
10,15087801,15089400,Promoter
9,101533000,101535201,Promoter
15,67176200,67176401,Promoter
17,59151200,59157401,Promoter
19,40282600,40282801,Promoter
5,177369000,177369401,Promoter
1,9588000,9592001,Promoter
3,183285400,183287601,Promoter
1,15602000,15604800,Promoter
1,10056600,10056801,Promoter
4,155496201,155496601,Promoter
7,6396000,6396201,Promoter
13,114313200,114316201,Promoter
3,183098000,183100601,Promoter
9,137639000,137640001,Promoter
6,2866000,2866201,Promoter
1,27658200,27658601,Promoter
3,79014800,79020201,Promoter
1,231629400,231629801,Promoter
19,35897000,35897201,Promoter
11,82906400,82906801,Promoter
10,97416000,97416201,Promoter
20,52190000,52193201,Promoter
3,15271600,15272001,Promoter
5,170311800,170312001,Promoter
3,121747600,121751201,Promoter
14,61188200,61189801,Promoter
11,65648400,65648600,Promoter
22,45604600,45604801,Promoter
11,9001800,9004801,Promoter
2,144452000,144453401,Promoter
2,219434200,219436201,Promoter
12,123230800,123235401,Promoter
5,5419200,5420001,Promoter
11,73385600,73387001,Promoter
2,37828800,37829001,Promoter
19,38865200,38865601,Promoter
5,58996800,59000201,Promoter
12,51047200,51050001,Promoter
20,3202600,3205200,Promoter
7,138786000,138786201,Promoter
12,14554400,14555201,Promoter
8,22973800,22974801,Promoter
4,98654600,98655401,Promoter
6,6694400,6694801,Promoter
5,135393200,135393401,Promoter
20,3807200,3809601,Promoter
2,95640600,95641601,Promoter
13,40589000,40590001,Promoter
19,35641600,35642201,Promoter
13,113001200,113003201,Promoter
12,53096000,53099601,Promoter
12,105106600,105111401,Promoter
17,18624401,18626600,Promoter
12,1529400,1534001,Promoter
17,39860600,39868401,Promoter
2,217756400,217756801,Promoter
17,79996800,79997601,Promoter
6,6722800,6723001,Promoter
5,21340200,21344401,Promoter
11,134124600,134125801,Promoter
2,177148000,177149201,Promoter
11,44068000,44068600,Promoter
1,178541200,178544001,Promoter
19,18612000,18612201,Promoter
X,48681200,48682201,Promoter
1,2192600,2200601,Promoter
5,93683601,93683800,Promoter
11,118220600,118221001,Promoter
12,120440000,120440201,Promoter
10,26218600,26218800,Promoter
12,109131400,109132001,Promoter
X,154457200,154461000,Promoter
14,40629200,40630601,Promoter
3,149983000,149983400,Promoter
8,22227400,22228201,Promoter
1,197194800,197195201,Promoter
3,152323600,152324201,Promoter
20,51021400,51023801,Promoter
20,25407000,25409201,Promoter
5,173921200,173921401,Promoter
X,13081000,13081201,Promoter
X,71144600,71147801,Promoter
19,14515400,14520401,Promoter
8,127733600,127741201,Promoter
4,74364200,74368201,Promoter
9,69674200,69674601,Promoter
17,82241000,82241801,Promoter
6,131199400,131201201,Promoter
2,187549600,187555201,Promoter
3,50248200,50248801,Promoter
7,91879200,91881601,Promoter
5,132819400,132820001,Promoter
9,129493600,129499001,Promoter
1,1597600,1598401,Promoter
12,123660200,123660801,Promoter
19,54973800,54974001,Promoter
19,8444000,8448001,Promoter
16,85749400,85752001,Promoter
13,106529000,106537001,Promoter
16,2512600,2517801,Promoter
3,198153000,198154601,Promoter
15,42401600,42402001,Promoter
4,72567000,72570201,Promoter
1,25871200,25871401,Promoter
20,36953200,36953601,Promoter
15,75757800,75759401,Promoter
20,63365201,63367001,Promoter
6,111772801,111773801,Promoter
21,41367000,41371001,Promoter
4,133156800,133157401,Promoter
8,130441200,130445401,Promoter
